x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,POFA/fMRI_POFA/013c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,c,0.5327713331039376,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/006c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,b,0.36062251570774606,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/021c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,c,0.5325646442420293,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/072c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,b,0.4076045928813983,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/033c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,c,0.34527020498671845,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/033c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,None,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/083c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,5,,,,,,,b,0.5481997364718154,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,None,,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
-0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,c,0.8601965738489525,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,b,0.4227045591528622,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,c,0.4071069823671678,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,b,0.3439306204945751,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,c,0.39161699704436614,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
-0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,4,b,0.5008255167313109,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,c,0.45406286951401853,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
-0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,1,b,0.6258467961283714,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
0.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,c,0.39128891386781106,,,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
